area_m2,bairro_valorizacao,idade_imovel,vagas_estacionamento,distancia_centro_km,fluxo_pessoas_dia,taxa_vacancia_regiao,tipo_imovel,padrao_construtivo,mes_cadastro,preco
?,medio,16,0,9.47,1326,7.79,loja,baixo,7,8037.05
248.48,medio,19,2,15.05,587,13.22,galpao,baixo,3,8222.04
18,alto,22,1,2.59,1543,6.52,sala_comercial,medio,9,3660.2
134.6,medio,19,2,5.17,?,9.46,loja,medio,9,10663.97
35.65,baixo,3,0,12.42,60,16.14,sala_comercial,medio,12,850
35.12,baixo,10,1,12.96,167,?,sala_comercial,medio,6,850
24.47,medio,4,1,11.44,725,13.7,sala_comercial,?,7,850
121.01,medio,0,?,7.04,?,13.43,escritorio,baixo,2,7978.75
217.12,alto,7,5,1.31,2047,7.27,loja,alto,5,31076.67
104.08,medio,33,2,10.31,1206,11.77,sala_comercial,alto,9,6788.19
598.81,baixo,2,6,22.51,1059,15.91,galpao,baixo,1,24577.03
673.39,?,18,2,10.2,1793,15.16,galpao,medio,7,38307.08
49.58,baixo,13,1,12.0,310,18.14,sala_comercial,baixo,1,850
?,medio,?,3,11.06,819,15.92,loja,medio,1,9345.27
109.14,alto,24,0,5.0,1314,7.31,sala_comercial,baixo,11,8961.95
743.82,medio,7,4,3.94,1527,8.84,galpao,medio,9,39316.06
73.51,medio,26,?,10.1,743,8.39,sala_comercial,baixo,2,2635.55
367.62,baixo,29,0,22.46,818,11.17,?,baixo,10,8200.95
60.23,alto,8,1,2.84,1257,6.51,sala_comercial,baixo,6,4932.41
95.04,?,8,3,8.89,968,12.97,sala_comercial,?,9,5623.9
570.95,alto,26,3,4.77,?,3.2,galpao,baixo,3,39234.68
289.43,medio,7,0,4.61,1631,11.27,galpao,baixo,4,14699.3
221.92,alto,14,3,8.52,1423,4.06,loja,medio,8,20075.68
115.69,baixo,14,1,23.63,432,12.93,loja,alto,9,850
224.44,baixo,11,3,10.29,791,13.08,loja,medio,7,11998.92
2686.27,baixo,40,?,22.08,819,30.42,?,?,5,8527.68
118.59,medio,5,2,10.36,948,13.93,loja,medio,10,8509.9
84.94,alto,2,0,5.65,1332,5.25,sala_comercial,alto,8,10944.31
86.48,medio,17,0,12.16,?,9.85,sala_comercial,medio,?,2733.78
53.15,alto,11,?,5.14,1291,7.61,sala_comercial,medio,10,4806.53
31.88,?,38,1,6.26,703,17.1,sala_comercial,medio,11,850
139.93,medio,19,1,5.21,956,14.04,escritorio,alto,2,6249.14
75.75,medio,7,0,6.34,922,12.0,sala_comercial,alto,9,3812.94
?,medio,7,0,2.7,874,9.51,sala_comercial,alto,3,5703.56
112.91,medio,6,0,13.77,842,?,loja,medio,12,7448.78
96.81,baixo,20,0,15.76,45,15.78,escritorio,alto,2,850
59.46,medio,19,0,7.88,?,11.9,escritorio,medio,3,2478.34
75.84,alto,2,0,0.54,1898,6.41,escritorio,baixo,12,11002.58
118.83,baixo,37,0,19.41,588,?,escritorio,alto,2,850
241.57,baixo,0,0,12.44,904,9.67,galpao,baixo,10,8626.61
155.46,baixo,19,0,17.15,420,15.19,loja,medio,5,2999.35
326.43,baixo,2,7,10.31,479,14.95,galpao,medio,?,14645.05
60.63,baixo,24,0,8.7,539,18.08,loja,baixo,10,850
133.12,medio,9,3,11.29,820,11.99,escritorio,baixo,11,4539.94
55.0,medio,9,0,4.17,920,9.64,sala_comercial,medio,3,4544.45
111.48,baixo,40,1,8.09,322,17.75,loja,alto,8,850
499.11,medio,29,0,11.59,1724,10.46,galpao,medio,10,25001.53
76.11,baixo,5,0,9.83,753,13.66,sala_comercial,baixo,6,2295.42
254.97,baixo,?,6,20.22,737,24.03,loja,medio,1,11636.28
48.78,baixo,15,0,13.86,609,9.42,sala_comercial,medio,5,850
85.28,baixo,20,0,16.37,209,14.11,loja,medio,8,850
113.19,baixo,34,0,20.45,341,11.75,escritorio,medio,7,850
54.83,alto,8,0,6.72,918,8.44,escritorio,alto,5,5596.96
127.24,baixo,27,0,16.91,451,13.21,loja,baixo,6,1476.22
117.96,medio,?,1,9.43,811,15.34,escritorio,medio,1,4105.31
314.89,alto,26,5,2.14,2066,2.09,galpao,medio,5,30540.34
120.54,baixo,5,0,9.62,643,8.9,escritorio,alto,12,5217.67
87.67,medio,17,2,9.53,1065,12.73,escritorio,baixo,12,3665.17
171.63,alto,12,2,1.75,1862,?,loja,?,4,15490.66
18,?,4,0,15.35,201,15.55,sala_comercial,alto,2,850
77.88,medio,17,0,7.53,?,4.59,sala_comercial,medio,12,4479.49
139.91,medio,4,0,12.08,563,11.65,loja,medio,8,5355.06
133.05,baixo,18,?,6.64,630,10.5,loja,baixo,6,4854.28
183.73,medio,11,0,6.7,1062,11.05,loja,medio,11,12318.96
62.59,alto,22,1,2.89,1767,8.43,loja,medio,11,8787.03
64.07,baixo,1,?,15.55,63,22.57,sala_comercial,medio,1,850
?,medio,12,1,9.7,1023,9.76,escritorio,baixo,1,6839.19
72.93,baixo,6,0,14.15,485,13.38,escritorio,baixo,2,850
71.37,baixo,5,0,12.35,551,20.71,sala_comercial,medio,8,850
102.46,medio,32,0,11.27,529,8.41,escritorio,baixo,6,1662.86
70.96,baixo,19,0,?,126,18.5,sala_comercial,medio,?,850
92.19,medio,12,0,10.32,901,13.04,escritorio,alto,12,2903.68
47.52,medio,19,0,9.26,831,10.61,sala_comercial,medio,7,850
117.99,alto,18,3,5.37,1368,7.9,escritorio,alto,11,15007.58
?,medio,22,1,8.44,782,6.63,sala_comercial,baixo,6,2970.45
53.88,baixo,49,0,9.41,458,22.13,sala_comercial,medio,2,850
2396.06,medio,64,7,9.56,1576,26.26,galpao,alto,?,16326.22
574.53,baixo,2,1,23.35,802,17.0,galpao,alto,1,21913.75
66.97,baixo,10,1,14.07,265,20.48,sala_comercial,medio,9,850
267.3,medio,6,5,10.84,1068,10.28,loja,baixo,2,14783.63
37.19,medio,2,3,13.07,968,8.75,?,medio,7,4024.97
133.54,baixo,?,2,10.13,548,19.76,loja,baixo,3,3274.15
?,?,13,0,7.65,1147,6.76,escritorio,baixo,7,3753.67
52.23,baixo,8,0,23.37,256,15.65,loja,medio,2,850
?,baixo,5,0,10.96,317,19.83,sala_comercial,baixo,10,850
101.39,baixo,7,2,9.68,367,13.22,escritorio,medio,2,2009.35
116.76,baixo,1,0,17.35,518,21.79,escritorio,baixo,?,2330.66
857.68,alto,4,2,6.72,1708,7.5,galpao,alto,2,78017.26
98.47,medio,3,0,9.43,1116,5.94,escritorio,?,2,6706.92
67.45,baixo,23,0,6.51,690,14.7,sala_comercial,baixo,11,850
18,alto,20,0,2.75,952,4.03,sala_comercial,medio,12,887.77
54.62,baixo,12,0,10.35,?,18.05,sala_comercial,baixo,10,850
84.5,medio,19,2,5.85,1382,12.81,escritorio,medio,12,4990.9
114.61,alto,12,1,5.93,1362,6.27,escritorio,baixo,7,10370.14
76.54,alto,12,2,3.35,1121,5.39,sala_comercial,alto,8,8465.96
2217.1,medio,50,0,8.9,902,?,?,baixo,4,6042.45
750.96,medio,20,6,1.96,2387,9.55,galpao,medio,8,49603.45
583.41,alto,?,5,2.27,2664,6.97,galpao,medio,5,47677.45
72.18,baixo,10,0,12.75,726,17.04,sala_comercial,alto,1,1587.04
?,medio,9,4,9.7,1871,12.06,galpao,medio,?,37018.7
413.55,medio,5,1,8.06,1786,11.82,?,baixo,1,20069.06
187.4,medio,8,0,9.79,422,10.94,loja,medio,12,7294.61
25.23,alto,12,0,0.59,4165,14.42,escritorio,baixo,10,19328.0
527.91,medio,12,4,5.5,1069,8.01,galpao,medio,9,28931.58
172.14,medio,1,2,8.31,879,12.5,loja,medio,6,9478.82
820.42,baixo,17,6,12.69,1053,19.52,galpao,medio,?,35785.51
87.52,alto,16,0,3.42,1585,7.75,loja,medio,6,9308.66
179.78,?,13,1,12.58,715,19.36,loja,medio,9,4788.78
128.99,?,7,1,10.23,1023,24.19,?,alto,3,6368.51
198.34,medio,?,?,6.84,1025,?,loja,baixo,9,11613.21
131.15,baixo,18,2,12.16,432,19.66,loja,medio,7,2148.02
128.2,medio,17,1,3.24,671,9.2,escritorio,medio,11,6385.31
97.87,baixo,4,1,7.85,831,19.03,sala_comercial,medio,1,4215.3
?,medio,21,0,4.06,1309,7.95,?,baixo,1,7083.88
53.55,baixo,?,0,13.88,526,14.7,sala_comercial,baixo,8,850
67.39,?,14,0,15.04,321,17.25,loja,?,2,850
116.0,baixo,12,0,14.74,216,17.93,escritorio,baixo,3,850
80.87,medio,17,2,9.04,1244,9.84,sala_comercial,alto,7,5925.44
220.76,baixo,26,0,6.33,767,?,loja,medio,10,8420.16
82.8,baixo,24,0,22.51,65,19.55,escritorio,?,12,850
76.37,medio,43,0,15.07,737,?,sala_comercial,?,6,850
573.46,medio,6,9,6.64,1668,14.33,galpao,medio,4,39480.75
267.03,alto,?,4,3.53,2208,4.07,loja,medio,2,29488.36
651.63,medio,29,3,10.55,1044,7.69,galpao,?,5,33235.37
153.91,medio,13,1,9.58,?,11.65,escritorio,baixo,9,4406.33
53.11,baixo,24,0,19.9,58,20.65,sala_comercial,?,4,850
174.31,medio,13,3,9.73,940,8.16,loja,medio,8,11677.29
132.22,medio,?,3,5.96,1270,8.31,loja,baixo,9,9125.79
115.57,?,24,?,6.18,1166,10.62,escritorio,medio,1,6870.7
52.44,medio,?,1,5.54,665,6.74,sala_comercial,alto,11,3888.6
30.67,baixo,20,0,12.84,682,17.57,sala_comercial,baixo,10,850
77.12,baixo,9,0,16.28,206,20.29,sala_comercial,alto,2,850
184.55,medio,13,2,5.12,1158,7.9,escritorio,medio,2,10795.16
95.83,medio,5,0,7.58,859,8.03,loja,baixo,2,6864.56
92.64,medio,1,2,6.92,931,9.67,galpao,medio,11,7246.16
2381.52,baixo,46,2,18.7,45,?,loja,baixo,5,7801.92
223.32,medio,7,2,8.8,702,13.12,loja,medio,7,11749.3
79.34,alto,27,0,2.32,1807,4.32,sala_comercial,alto,1,13299.84
?,alto,9,3,3.43,1348,7.26,loja,baixo,5,15892.58
496.31,alto,12,3,4.45,1529,6.27,galpao,baixo,12,37308.78
376.38,medio,25,0,10.36,1340,10.92,galpao,medio,9,19327.25
147.53,alto,7,1,3.42,2786,5.38,escritorio,medio,12,53525.23
37.15,alto,13,0,5.59,1641,8.38,sala_comercial,alto,11,5658.62
51.99,medio,13,0,9.53,568,13.02,sala_comercial,medio,12,1467.68
55.9,medio,46,2,10.37,761,10.84,loja,alto,10,3270.32
72.86,medio,6,1,8.27,1326,13.22,sala_comercial,?,11,6344.17
69.51,baixo,23,1,15.77,473,21.64,sala_comercial,baixo,4,850
52.87,medio,18,0,6.72,?,15.97,sala_comercial,medio,10,3445.96
68.79,baixo,7,3,15.37,675,7.79,?,medio,5,3711.1
120.87,baixo,10,1,14.57,301,11.27,escritorio,baixo,4,1059.28
110.91,alto,?,?,3.44,1534,4.67,escritorio,medio,8,13135.1
582.58,medio,4,2,5.57,1040,10.43,?,baixo,10,25008.93
92.27,baixo,9,0,14.4,110,18.89,escritorio,alto,6,850
46.57,medio,5,0,?,405,15.78,loja,alto,3,850
779.98,medio,2,?,11.53,1457,12.87,galpao,medio,5,41050.1
61.31,alto,12,0,1.46,1431,5.59,sala_comercial,baixo,9,6469.92
31.26,medio,10,0,9.82,905,10.81,sala_comercial,baixo,9,2036.17
140.35,medio,6,3,0.4,1092,11.44,loja,baixo,1,10471.71
294.21,medio,28,2,6.14,1511,9.67,galpao,medio,11,13906.6
63.52,baixo,25,0,14.85,307,12.38,sala_comercial,medio,6,850
451.44,alto,14,0,2.46,1965,6.61,galpao,medio,8,39637.32
76.75,medio,17,0,6.58,740,7.7,escritorio,alto,11,4165.01
67.21,medio,14,0,7.99,935,14.86,sala_comercial,alto,5,2134.46
914.25,baixo,5,6,14.69,1211,7.01,galpao,medio,8,41041.97
71.12,medio,23,0,8.04,1016,11.29,sala_comercial,baixo,1,3165.06
103.21,medio,16,0,11.3,903,8.55,loja,alto,12,7402.68
112.41,baixo,30,0,11.24,716,13.09,escritorio,medio,10,2167.47
18,alto,17,0,2.09,977,4.89,sala_comercial,medio,8,1656.27
1170.66,baixo,10,9,19.18,?,15.94,galpao,alto,6,68255.89
90.35,medio,3,0,3.55,962,10.67,loja,alto,12,7281.5
777.33,alto,19,4,0.87,2579,6.11,galpao,medio,7,56172.41
205.86,medio,4,1,7.56,964,?,loja,medio,1,12961.62
51.67,medio,5,0,13.56,378,7.45,sala_comercial,medio,5,1132.5
1062.07,baixo,13,7,13.27,1626,15.6,?,medio,9,45341.48
509.12,medio,16,?,?,1239,10.41,galpao,medio,4,27533.16
75.61,baixo,18,0,7.43,732,18.0,?,medio,11,850
37.24,medio,4,0,11.16,727,16.12,sala_comercial,medio,9,850
224.37,alto,8,3,5.81,1576,7.73,loja,baixo,9,17852.86
157.76,alto,14,3,3.87,1418,7.66,loja,baixo,12,16708.59
36.09,alto,13,4,3.98,1591,4.59,sala_comercial,alto,3,7816.44
147.96,medio,12,0,2.99,1436,4.59,loja,medio,9,12496.59
464.88,medio,12,2,10.54,1416,14.01,galpao,alto,11,30362.76
69.11,baixo,27,0,15.88,415,15.66,sala_comercial,baixo,8,850
18,alto,16,0,1.84,1528,9.01,sala_comercial,baixo,4,6621.74
65.68,alto,4,2,5.77,1654,5.17,sala_comercial,medio,5,10539.66
123.21,alto,45,?,3.24,1600,5.3,loja,medio,5,9663.41
60.56,?,22,0,0.4,1593,5.3,loja,?,3,7125.23
185.09,baixo,35,3,13.53,593,17.3,loja,medio,10,5578.22
857.93,?,?,6,13.76,895,16.74,galpao,alto,3,43265.03
852.55,?,29,8,16.75,896,18.72,galpao,medio,2,34241.99
128.59,medio,21,0,9.71,1100,13.77,escritorio,alto,9,6747.08
87.43,baixo,9,0,12.02,234,18.23,sala_comercial,baixo,6,850
?,alto,20,2,5.49,1186,9.11,loja,alto,1,12441.43
152.5,medio,2,3,?,?,12.31,loja,baixo,5,8295.73
71.66,baixo,14,0,10.54,628,12.1,sala_comercial,alto,6,907.71
165.17,baixo,10,2,?,198,20.46,loja,medio,4,2009.48
190.57,baixo,24,0,18.06,311,?,loja,alto,1,1381.01
48.41,medio,13,0,10.11,610,8.94,loja,medio,?,1263.88
198.43,medio,15,?,7.87,724,10.73,loja,medio,6,10240.85
20.8,baixo,31,1,14.42,419,23.45,sala_comercial,medio,8,850
99.65,baixo,4,3,10.74,580,10.96,sala_comercial,baixo,6,4221.74
49.16,alto,19,1,3.73,1371,4.02,loja,baixo,8,6346.78
83.31,medio,22,0,12.08,716,9.54,loja,medio,2,2336.48
182.38,baixo,17,2,?,1196,19.82,loja,baixo,2,10853.13
38.84,?,8,0,4.84,988,6.63,sala_comercial,medio,2,2833.32
66.38,medio,8,1,5.39,733,13.34,escritorio,medio,6,3878.09
167.78,medio,2,?,12.37,486,10.75,loja,medio,10,6602.56
645.91,medio,8,9,6.54,1472,10.51,galpao,baixo,12,35261.25
56.59,medio,14,0,6.12,772,9.21,sala_comercial,baixo,6,1522.53
170.71,baixo,12,1,19.18,182,20.36,loja,medio,11,2263.36
36.69,baixo,10,0,10.33,254,14.06,sala_comercial,medio,6,850
171.23,medio,?,1,5.5,708,7.35,loja,baixo,?,8276.7
730.99,medio,28,5,13.27,1063,10.06,galpao,baixo,2,33676.92
18,?,13,1,14.21,568,13.9,sala_comercial,baixo,5,850
66.86,medio,13,0,6.86,776,13.55,escritorio,alto,1,2523.61
65.75,baixo,18,1,25.74,234,14.17,sala_comercial,medio,1,850
83.34,medio,6,0,5.31,964,10.04,sala_comercial,medio,3,5364.15
18,?,?,0,3.65,394,16.51,loja,medio,6,850
105.8,medio,4,0,11.38,998,11.15,escritorio,baixo,11,3425.54
59.65,baixo,19,1,13.64,364,10.46,sala_comercial,baixo,?,850
26.04,medio,?,0,0.61,742,6.95,sala_comercial,baixo,11,2940.66
353.74,baixo,14,3,15.61,913,18.17,galpao,medio,3,14279.13
263.3,medio,6,4,10.99,1071,13.03,loja,?,4,13833.05
484.92,?,18,6,5.43,1725,6.88,galpao,baixo,6,34414.53
106.28,medio,9,1,4.82,1399,12.3,sala_comercial,baixo,8,7396.57
292.62,alto,15,6,3.96,3877,4.64,galpao,medio,11,95220.44
?,medio,20,1,3.82,723,?,sala_comercial,medio,4,2648.88
92.05,baixo,30,1,19.56,564,13.37,escritorio,alto,3,850
142.61,medio,10,4,7.95,623,14.89,loja,medio,1,7788.37
18,?,7,2,6.49,1272,5.14,escritorio,alto,4,4532.94
1044.16,medio,14,8,8.73,2144,5.33,galpao,alto,11,68448.29
?,medio,16,?,12.86,776,13.29,sala_comercial,medio,4,1004.18
162.32,medio,2,2,6.94,?,12.6,escritorio,alto,9,12254.63
83.09,alto,15,0,3.59,1292,?,sala_comercial,baixo,5,6904.45
50.0,medio,22,1,16.26,358,11.18,sala_comercial,baixo,9,850
470.97,?,25,5,7.5,1739,8.3,galpao,baixo,7,36082.99
25.66,alto,5,0,4.11,893,5.11,escritorio,baixo,9,4489.77
32.92,medio,17,0,11.54,788,9.65,sala_comercial,alto,11,850
57.33,alto,11,0,4.8,1143,7.77,sala_comercial,baixo,9,3705.58
87.98,alto,31,1,0.94,1818,8.33,escritorio,medio,12,11151.98
40.48,medio,22,0,7.28,1255,10.91,sala_comercial,baixo,11,3503.19
96.17,medio,7,1,13.81,616,11.72,escritorio,medio,10,3310.87
67.96,?,18,0,?,996,10.47,loja,medio,4,4702.6
100.6,alto,?,2,5.91,1400,1.5,escritorio,alto,1,14371.95
537.89,baixo,?,0,8.42,924,10.14,galpao,medio,6,20311.21
195.39,medio,9,1,10.02,1180,12.38,loja,alto,5,15856.11
124.56,baixo,31,1,15.27,842,17.51,escritorio,baixo,5,3000.77
687.99,baixo,8,8,14.6,1026,13.22,galpao,medio,12,30116.05
242.39,medio,8,3,12.51,979,10.56,loja,?,1,14976.95
1731.13,medio,47,0,9.22,698,29.08,sala_comercial,medio,11,16532.71
122.3,?,19,1,7.24,1200,5.84,?,?,11,6955.44
26.06,alto,11,2,2.94,2880,3.93,escritorio,baixo,9,22531.0
143.06,alto,22,1,6.56,1393,5.4,loja,baixo,6,11488.09
20.64,baixo,?,0,15.44,215,19.33,loja,medio,5,850
106.06,baixo,6,0,13.3,239,18.42,loja,baixo,11,850
48.67,alto,0,1,4.93,1781,9.03,sala_comercial,medio,1,7982.69
94.08,?,36,1,8.73,1097,10.5,escritorio,medio,1,2074.7
124.6,baixo,14,0,12.69,142,15.87,loja,baixo,5,850
?,medio,5,1,9.4,873,10.16,sala_comercial,medio,6,3980.68
137.0,baixo,10,1,13.6,616,8.9,loja,baixo,3,4746.83
169.49,medio,16,0,9.47,636,12.45,loja,baixo,12,5524.49
140.57,baixo,13,2,?,326,21.68,loja,medio,8,1329.14
?,?,5,6,5.56,3255,4.97,galpao,baixo,1,70136.51
170.03,alto,19,3,2.12,1745,7.74,loja,medio,9,16430.34
135.33,baixo,6,1,5.37,?,15.34,loja,medio,5,6606.74
622.99,baixo,9,10,15.49,1104,17.98,galpao,?,?,33710.75
35.55,medio,2,1,5.6,821,6.54,sala_comercial,medio,7,3844.03
65.77,alto,6,1,2.45,1435,8.2,escritorio,alto,4,11861.85
175.15,baixo,19,1,15.1,177,17.67,loja,baixo,6,1679.18
24.52,baixo,12,0,14.36,225,21.8,sala_comercial,alto,7,850
1169.14,medio,3,7,13.59,1229,12.59,galpao,medio,9,61586.57
50.28,medio,7,1,6.19,1087,?,sala_comercial,baixo,5,4950.99
191.79,medio,14,1,13.2,787,10.74,loja,alto,4,11107.27
695.83,medio,16,8,7.03,1660,11.81,galpao,baixo,4,36139.27
134.39,?,3,?,1.6,1677,2.32,escritorio,medio,3,14499.91
150.44,baixo,7,1,12.43,547,13.84,loja,medio,11,4574.38
60.11,medio,11,2,13.21,1005,10.95,escritorio,alto,12,3649.36
?,baixo,4,1,20.47,174,21.37,escritorio,?,8,2397.12
83.41,?,18,0,5.8,1321,2.89,loja,alto,9,9334.57
146.16,medio,19,0,12.91,828,11.41,loja,?,6,6999.89
120.29,medio,22,0,9.49,723,12.09,loja,baixo,3,3538.83
81.87,medio,15,0,7.56,651,17.32,escritorio,medio,11,1780.77
67.84,medio,?,1,7.47,620,8.62,escritorio,medio,4,3049.38
131.52,alto,29,1,2.34,1332,4.16,loja,alto,7,14105.69
117.83,medio,6,2,11.32,709,?,escritorio,baixo,1,3456.19
105.03,?,15,0,8.74,1002,12.76,escritorio,medio,2,5843.04
46.27,alto,7,0,?,1884,8.12,sala_comercial,medio,5,6731.76
135.91,baixo,6,0,15.87,613,11.05,loja,baixo,?,3850.88
74.55,medio,18,1,13.87,712,10.46,escritorio,baixo,9,1737.19
159.92,medio,27,2,3.7,1003,10.98,loja,medio,11,9839.9
49.75,baixo,10,0,18.14,?,15.75,loja,medio,10,850
142.8,baixo,12,2,8.75,783,17.4,loja,medio,7,7389.85
172.09,medio,35,0,8.12,1118,7.0,?,medio,9,8338.44
222.14,alto,10,2,1.21,1739,8.36,?,baixo,4,22099.35
114.05,baixo,24,0,12.13,646,17.04,loja,alto,7,1967.55
54.75,medio,12,1,12.36,?,12.89,loja,baixo,1,1929.61
562.44,baixo,28,4,18.84,855,19.09,?,baixo,12,16404.0
31.83,alto,26,3,4.85,1655,8.32,sala_comercial,medio,?,6690.5
205.31,medio,30,4,13.21,758,11.76,loja,baixo,1,9220.82
103.14,medio,28,0,12.44,599,11.49,sala_comercial,medio,2,850
267.16,medio,4,2,9.91,1360,11.39,loja,baixo,6,12828.19
72.25,alto,17,0,4.72,932,2.28,sala_comercial,baixo,4,4388.96
40.54,?,4,0,16.15,316,12.23,?,medio,12,850
59.14,baixo,6,0,16.4,67,18.85,escritorio,medio,10,850
113.3,medio,8,1,14.61,946,17.02,escritorio,baixo,6,4766.46
88.83,medio,29,0,10.89,877,12.06,escritorio,medio,4,1331.0
17.98,?,29,1,1.53,3019,4.66,loja,baixo,11,20499.62
733.42,?,8,9,10.8,1815,13.14,galpao,medio,6,43026.31
18,alto,5,0,5.54,1399,8.57,sala_comercial,medio,9,4648.23
692.55,medio,4,0,9.42,1935,10.32,galpao,medio,4,37255.65
95.49,medio,15,2,10.69,611,9.74,sala_comercial,baixo,12,1315.32
834.91,alto,6,2,3.1,2828,3.96,galpao,baixo,8,54696.77
27.68,baixo,20,0,17.37,235,7.53,sala_comercial,?,11,850
