area_m2,bairro_valorizacao,idade_imovel,distancia_centro_km,fluxo_pessoas_dia,preco
80.87,baixo,24,8.94,737,3507.19
102.63,alto,4,7.43,1376,12152.01
171.85,baixo,24,8.42,860,7595.41
237.27,medio,9,10.01,1074,14605.92
116.14,medio,9,13.62,966,6049.44
89.15,medio,12,2.38,1198,6398.89
137.26,medio,25,10.19,1082,5548.81
39.27,baixo,4,10.52,349,900.0
124.96,medio,29,7.62,986,5346.23
218.79,baixo,6,16.6,623,5899.06
107.01,medio,29,6.99,1022,4547.33
112.56,medio,18,5.3,1281,8452.32
182.04,baixo,5,14.16,775,7410.52
156.31,baixo,18,14.3,464,4910.46
66.7,baixo,15,7.24,825,2593.39
74.81,alto,8,2.52,1595,8401.71
161.73,medio,17,9.53,863,7633.17
39.62,baixo,7,7.97,310,964.23
70.16,medio,4,9.33,919,4303.56
111.56,baixo,2,20.18,452,2302.89
117.66,medio,5,5.17,1095,7338.4
74.72,medio,4,14.12,732,3220.81
100.18,medio,22,12.07,852,3265.59
306.36,baixo,26,8.53,839,12842.35
20.0,medio,12,4.75,1139,5455.15
155.84,baixo,8,11.78,777,5903.25
61.71,medio,13,9.83,1054,5056.47
46.98,medio,6,10.3,846,2701.23
233.69,medio,36,9.18,1166,13749.09
224.67,baixo,30,5.44,1296,12967.48
129.95,medio,29,12.22,904,5523.35
